locusName	Best_hit_arabi_name	arabi-symbol	arabi-defline	at_tf_family	pt_tf_family
Potri.001G000100	AT2G01050.1	-	zinc ion binding;nucleic acid binding	-	-
Potri.001G000200	AT2G01050.1	-	zinc ion binding;nucleic acid binding	-	-
Potri.001G000300	-	-	-	-	-
Potri.001G000400	AT2G30942.1	-	Protein of unknown function (DUF3317)	-	-
Potri.001G000500	AT1G55570.1	sks12	SKU5  similar 12	-	-
Potri.001G000600	AT1G55570.1	sks12	SKU5  similar 12	-	-
Potri.001G000700	AT2G32080.1	PUR ALPHA-1	purin-rich alpha 1	-	-
Potri.001G000800	AT1G55550.1	-	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.001G000900	AT3G13410.1	-	-	-	-
Potri.001G001000	-	-	-	-	-
Potri.001G001100	AT2G03090.1	ATEXP15,ATEXPA15,ATHEXP ALPHA 1.3,EXP15,EXPA15	expansin A15	-	-
Potri.001G001200	AT1G55540.1	emb1011	Nuclear pore complex protein	-	-
Potri.001G001300	AT4G26410.1	-	Uncharacterised conserved protein UCP022280	-	-
Potri.001G001400	AT1G55535.1	-	-	-	-
Potri.001G001500	AT5G56340.1	ATCRT1	RING/U-box superfamily protein	-	-
Potri.001G001600	AT5G56350.1	-	Pyruvate kinase family protein	-	-
Potri.001G001700	AT5G56360.1	PSL4	calmodulin-binding protein	-	-
Potri.001G001800	-	-	-	-	-
Potri.001G001900	-	-	-	-	-
Potri.001G002000	AT3G13460.1	ECT2	evolutionarily conserved C-terminal region 2	-	-
Potri.001G002100	-	-	-	-	-
Potri.001G002200	AT4G26330.1	ATSBT3.18,UNE17	Subtilisin-like serine endopeptidase family protein	-	-
Potri.001G002300	AT5G56460.1	-	Protein kinase superfamily protein	-	-
Potri.001G002400	AT5G64810.1	ATWRKY51,WRKY51	WRKY DNA-binding protein 51	WRKY	WRKY
Potri.001G002500	AT3G13470.1	-	TCP-1/cpn60 chaperonin family protein	-	-
Potri.001G002600	AT5G56510.1	APUM12,PUM12	pumilio 12	-	-
Potri.001G002700	AT1G55480.1	ZKT	protein containing PDZ domain, a K-box domain, and a TPR region	-	-
Potri.001G002800	AT5G36110.1	CYP716A1	cytochrome P450, family 716, subfamily A, polypeptide 1	-	-
Potri.001G002900	-	-	-	-	-
Potri.001G003000	AT5G36110.1	CYP716A1	cytochrome P450, family 716, subfamily A, polypeptide 1	-	-
Potri.001G003100	AT5G36110.1	CYP716A1	cytochrome P450, family 716, subfamily A, polypeptide 1	-	-
Potri.001G003200	AT4G04220.1	AtRLP46,RLP46	receptor like protein 46	-	-
Potri.001G003300	AT3G13480.1	-	-	-	-
Potri.001G003400	AT4G09830.1	-	Uncharacterised conserved protein UCP009193	-	-
Potri.001G003500	AT5G56520.1	-	-	-	-
Potri.001G003600	AT5G64150.1	-	RNA methyltransferase family protein	-	-
Potri.001G003700	AT5G23710.1	-	DNA binding;DNA-directed RNA polymerases	-	-
Potri.001G003800	AT1G55360.1	-	Protein of Unknown Function (DUF239)	-	-
Potri.001G003900	AT1G55350.3	ATDEK1,DEK1,EMB1275,EMB80	calpain-type cysteine protease family	-	-
Potri.001G004000	AT1G55340.1	-	Protein of unknown function (DUF1639)	-	-
Potri.001G004100	AT5G56540.1	AGP14,ATAGP14	arabinogalactan protein 14	-	-
Potri.001G004200	AT1G55325.2	GCT	RNA polymerase II transcription mediators	-	-
Potri.001G004300	AT4G26310.1	-	elongation factor P (EF-P) family protein	-	-
Potri.001G004400	-	-	-	-	-
Potri.001G004500	AT5G19760.1	-	Mitochondrial substrate carrier family protein	-	-
Potri.001G004600	AT5G19770.1	TUA3	tubulin alpha-3	-	-
Potri.001G004700	AT5G19790.1	RAP2.11	related to AP2 11	ERF	ERF
Potri.001G004800	AT5G19820.1	emb2734	ARM repeat superfamily protein	-	-
Potri.001G004900	-	-	-	-	bZIP
Potri.001G005000	AT5G19830.1	-	Peptidyl-tRNA hydrolase family protein	-	-
Potri.001G005100	AT3G13540.1	ATMYB5,MYB5	myb domain protein 5	MYB	MYB
Potri.001G005200	-	-	-	-	-
Potri.001G005300	AT5G19850.1	-	alpha/beta-Hydrolases superfamily protein	-	-
Potri.001G005400	AT5G11950.1	-	Putative lysine decarboxylase family protein	-	-
Potri.001G005500	AT4G08810.1	SUB1	calcium ion binding	-	-
Potri.001G005600	AT3G13600.1	-	calmodulin-binding family protein	-	-
Potri.001G005700	AT4G25650.1	ACD1-LIKE,PTC52,TIC55-IV	ACD1-like	-	-
Potri.001G005800	-	-	-	-	-
Potri.001G005900	AT4G25650.1	ACD1-LIKE,PTC52,TIC55-IV	ACD1-like	-	-
Potri.001G006000	AT2G42820.1	HVA22F	HVA22-like protein F	-	-
Potri.001G006100	AT2G41890.1	-	curculin-like (mannose-binding) lectin family protein / PAN domain-containing protein	-	-
Potri.001G006200	AT3G13600.1	-	calmodulin-binding family protein	-	-
Potri.001G006300	AT1G55300.1	TAF7	TBP-associated factor 7	-	-
Potri.001G006400	AT3G13570.1	SCL30A	SC35-like splicing factor 30A	-	-
Potri.001G006500	AT3G13560.2	-	O-Glycosyl hydrolases family 17 protein	-	-
Potri.001G006600	AT1G55320.1	AAE18	acyl-activating enzyme 18	-	-
Potri.001G006700	AT1G55320.1	AAE18	acyl-activating enzyme 18	-	-
Potri.001G006800	AT3G13610.1	-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-	-
Potri.001G006900	AT3G13610.1	-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-	-
Potri.001G007000	AT1G15670.1	-	Galactose oxidase/kelch repeat superfamily protein	-	-
Potri.001G007100	AT1G55290.1	-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-	-
Potri.001G007200	AT3G13620.1	-	Amino acid permease family protein	-	-
Potri.001G007300	AT3G13620.1	-	Amino acid permease family protein	-	-
Potri.001G007400	AT5G09280.1	-	Pectin lyase-like superfamily protein	-	-
Potri.001G007500	-	-	-	-	-
Potri.001G007600	AT5G17230.3	PSY	PHYTOENE SYNTHASE	-	-
Potri.001G007700	AT5G17230.1	PSY	PHYTOENE SYNTHASE	-	-
Potri.001G007800	AT2G42500.1	PP2A-3	protein phosphatase 2A-3	-	-
Potri.001G007900	AT2G42520.1	-	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.001G008000	AT1G55270.1	-	Galactose oxidase/kelch repeat superfamily protein	-	-
Potri.001G008100	AT4G26130.1	-	-	-	-
Potri.001G008200	AT2G26110.1	-	Protein of unknown function (DUF761)	-	-
Potri.001G008300	AT1G55265.1	-	Protein of unknown function, DUF538	-	-
Potri.001G008400	AT5G19860.1	-	Protein of unknown function, DUF538	-	-
Potri.001G008500	AT2G44290.1	-	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-	-
Potri.001G008600	AT1G11880.1	-	transferases, transferring hexosyl groups	-	-
Potri.001G008700	AT3G32940.1	-	RNA-binding KH domain-containing protein	-	-
Potri.001G008800	AT1G55250.3	HUB2	histone mono-ubiquitination 2	-	-
Potri.001G008900	AT1G55230.1	-	Family of unknown function (DUF716) 	-	-
Potri.001G009000	AT1G55230.1	-	Family of unknown function (DUF716) 	-	-
Potri.001G009100	AT1G58170.1	-	Disease resistance-responsive (dirigent-like protein) family protein	-	-
Potri.001G009200	AT5G19875.1	-	-	-	-
Potri.001G009300	AT5G19875.1	-	-	-	-
Potri.001G009400	AT2G02030.1	-	F-box family protein	-	-
Potri.001G009500	-	-	-	-	-
Potri.001G009600	AT1G69770.1	CMT3	chromomethylase 3	-	-
Potri.001G009700	AT3G13670.1	-	Protein kinase family protein	-	-
Potri.001G009800	AT2G34860.1	EDA3	DnaJ/Hsp40 cysteine-rich domain superfamily protein	-	-
Potri.001G009900	AT3G58060.1	-	Cation efflux family protein	-	-
Potri.001G010000	AT3G58060.1	-	Cation efflux family protein	-	-
Potri.001G010100	AT3G58060.1	-	Cation efflux family protein	-	-
Potri.001G010200	AT3G58060.1	-	Cation efflux family protein	-	-
Potri.001G010300	AT3G58060.1	-	Cation efflux family protein	-	-
Potri.001G010400	AT4G10620.1	-	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.001G010500	AT3G58040.1	SINAT2	seven in absentia of Arabidopsis 2	-	-
Potri.001G010600	AT2G31945.1	-	-	-	-
Potri.001G010700	AT3G45240.2	ATSNAK2,GRIK1	geminivirus rep interacting kinase 1	-	-
Potri.001G010800	AT1G50480.1	THFS	10-formyltetrahydrofolate synthetase	-	-
Potri.001G010900	AT5G06700.1	TBR	Plant protein of unknown function (DUF828)	-	-
Potri.001G011000	AT4G08780.1	-	Peroxidase superfamily protein	-	-
Potri.001G011100	-	-	-	-	-
Potri.001G011200	AT3G49120.1	ATPCB,ATPERX34,PERX34,PRX34,PRXCB	peroxidase CB	-	-
Potri.001G011300	AT3G49120.1	ATPCB,ATPERX34,PERX34,PRX34,PRXCB	peroxidase CB	-	-
Potri.001G011400	AT5G06730.1	-	Peroxidase superfamily protein	-	-
Potri.001G011500	AT5G06720.1	ATPA2,PA2	peroxidase 2	-	-
Potri.001G011600	AT5G19890.1	-	Peroxidase superfamily protein	-	-
Potri.001G011700	AT1G51110.1	-	Plastid-lipid associated protein PAP / fibrillin family protein	-	-
Potri.001G011800	AT5G19900.1	-	PRLI-interacting factor, putative	-	-
Potri.001G011900	AT3G07160.1	ATGSL10,CALS9,gsl10	glucan synthase-like 10	-	-
Potri.001G012000	AT3G07160.1	ATGSL10,CALS9,gsl10	glucan synthase-like 10	-	-
Potri.001G012100	-	-	-	-	-
Potri.001G012200	AT5G13000.1	ATGSL12,gsl12	glucan synthase-like 12	-	-
Potri.001G012300	AT5G42340.1	PUB15	Plant U-Box 15	-	-
Potri.001G012400	-	-	-	-	-
Potri.001G012500	AT3G12120.1	FAD2	fatty acid desaturase 2	-	-
Potri.001G012600	-	-	-	-	-
Potri.001G012700	AT3G12120.1	FAD2	fatty acid desaturase 2	-	-
Potri.001G012800	AT2G18220.1	-	Noc2p family	-	-
Potri.001G012900	-	-	-	-	-
Potri.001G013000	AT3G49110.1	ATPCA,ATPRX33,PRX33,PRXCA	peroxidase CA	-	-
Potri.001G013100	AT2G38390.1	-	Peroxidase superfamily protein	-	-
Potri.001G013200	AT3G12130.1	-	KH domain-containing protein / zinc finger (CCCH type) family protein	C3H	C3H
Potri.001G013300	AT1G73240.1	-	-	-	-
Potri.001G013400	AT5G19640.1	-	Major facilitator superfamily protein	-	-
Potri.001G013500	AT2G05990.2	ENR1,MOD1	NAD(P)-binding Rossmann-fold superfamily protein	-	-
Potri.001G013600	AT2G44430.1	-	DNA-binding bromodomain-containing protein	MYB_related	MYB_related
Potri.001G013700	AT5G19630.1	-	alpha/beta-Hydrolases superfamily protein	-	-
Potri.001G013800	AT5G13020.1	-	Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein	-	-
Potri.001G013900	AT5G13030.1	-	-	-	-
Potri.001G014000	AT1G04640.1	LIP2	lipoyltransferase 2	-	-
